# Black: GNU Go
# BlackCommand: gnugo --mode gtp
# BlackLabel: GNU Go
# BlackVersion: 3.8
# Date: December 4, 2011 2:31:01 AM PST
# Host: dleary-macbook
# Komi: 6.5
# Referee: -
# Size: 9
# White: cy-kill
# WhiteCommand: /Users/dleary/dev/cy-kill/cy-kill "seed_rng 42"
# WhiteLabel: cy-kill
# WhiteVersion: 0.1
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
0	B+71.5	?	?	0	-	65	24.8	7.4	24.7	0	0	
1	B+86.5	?	?	1	-	66	15.3	7.7	15.4	0	0	
2	B+71.5	?	?	0	-	67	16.8	7.8	16.7	0	0	
3	B+87.5	?	?	1	-	72	31.6	8.3	31.5	0	0	
4	B+77.5	?	?	0	-	76	16.4	8.6	16.3	0	0	
5	B+87.5	?	?	1	-	68	27.5	8	27.4	0	0	
6	B+73.5	?	?	0	-	66	9.2	7.7	9.1	0	0	
7	B+87.5	?	?	1	-	62	18.7	7.7	18	0	0	
8	B+73.5	?	?	0	-	63	26.2	7.7	25.9	0	0	
9	B+87.5	?	?	1	-	52	17.1	6.7	17.7	0	0	
10	B+73.5	?	?	0	-	69	30.5	8.1	29.9	0	0	
11	B+87.5	?	?	1	-	60	31.3	7.7	30.9	0	0	
12	B+72.5	?	?	0	-	45	41.5	5.8	41.3	0	0	
13	B+87.5	?	?	1	-	50	18.7	6.5	18.6	0	0	
14	B+82.5	?	?	0	-	88	15.9	9.8	15.6	0	0	
15	B+86.5	?	?	1	-	72	40	8.7	39.3	0	0	
16	B+74.5	?	?	0	-	72	17.2	8.3	17	0	0	
17	B+87.5	?	?	1	-	70	32.4	8.3	31.7	0	0	
18	B+72.5	?	?	0	-	75	35.7	8.5	35.1	0	0	
19	B+87.5	?	?	1	-	58	20.7	7	20.5	0	0	
20	B+80.5	?	?	0	-	90	29.3	9.8	28.8	0	0	
21	B+87.5	?	?	1	-	62	54.9	7.5	54.2	0	0	
22	B+73.5	?	?	0	-	59	23.4	7.3	23.1	0	0	
23	B+86.5	?	?	1	-	68	29	7.9	28.6	0	0	
24	B+77.5	?	?	0	-	80	20.5	9	20.1	0	0	
