# Black: GNU Go
# BlackCommand: gnugo --mode gtp
# BlackLabel: GNU Go
# BlackVersion: 3.8
# Date: December 6, 2011 12:54:25 AM PST
# Host: dleary-macbook
# Komi: 6.5
# Referee: -
# Size: 9
# White: cy-kill
# WhiteCommand: /Users/dleary/dev/cy-kill/cykill-transcript /Users/dleary/dev/cy-kill/util/cykill-vs-gnugo-100games-9x9-6f79d11d045ecf77e4c0ca46dd9991945201692d "engine_param random_seed 42"
# WhiteLabel: cy-kill
# WhiteVersion: 0.1
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
0	B+79.5	B+14.5	?	0	-	104	33.1	491	27.6	0	0	
1	B+93.5	B+18.5	?	1	-	95	33.7	447.8	29.7	0	0	
2	B+74.5	B+13.5	?	0	-	92	30.6	485	26.4	0	0	
3	B+104.5	B+3.5	?	1	-	119	37.9	595.7	34	0	0	
4	B+77.5	B+4.5	?	0	2?	96	26.4	428.9	25	0	0	
5	B+104.5	B+3.5	?	1	3	119	33.7	519	31.9	0	0	
6	B+18.5	W+10.5	?	0	-	90	9.2	373.1	8.8	0	0	
7	B+104.5	B+3.5	?	1	3	119	27.9	432	27.7	0	0	
8	W+39.5	W+47.5	?	0	-	106	12.4	362.8	12.4	0	0	
9	B+88.5	B+21.5	?	1	-	97	13.1	346.8	13.1	0	0	
10	B+80.5	B+16.5	?	0	-	94	27.9	344.4	27.8	0	0	
11	B+88.5	B+21.5	?	1	9	97	13.1	345.5	13.1	0	0	
12	B+94.5	B+5.5	?	0	-	128	24.1	444.6	24	0	0	
13	B+104.5	B+3.5	?	1	3	119	27.4	422.1	27.3	0	0	
14	B+80.5	B+8.5	?	0	-	98	34	354.6	33.9	0	0	
15	B+104.5	B+3.5	?	1	3	119	27.4	422.1	27.3	0	0	
16	B+80.5	B+16.5	?	0	10	94	27.9	345.3	27.8	0	0	
17	B+89.5	B+20.5	?	1	-	81	24.4	301.7	24.3	0	0	
18	B+54.5	B+8.5	?	0	-	88	20.4	316.6	20.4	0	0	
19	B+88.5	B+21.5	?	1	9	97	13.1	345.5	13.1	0	0	
20	B+79.5	B+14.5	?	0	0	104	23.9	373.4	23.8	0	0	
21	B+88.5	B+21.5	?	1	9	97	13.2	346.1	13.1	0	0	
22	B+80.5	B+16.5	?	0	10	94	27.9	344.7	27.8	0	0	
23	B+89.5	B+25.5	?	1	-	87	55.6	324.7	55.3	0	0	
24	B+83.5	B+12.5	?	0	-	92	13.2	343	13.2	0	0	
25	B+89.5	B+20.5	?	1	17	81	24.4	300.7	24.3	0	0	
26	B+54.5	B+8.5	?	0	18	88	20.4	316	20.4	0	0	
27	B+87.5	B+13.5	?	1	-	58	31.7	225	31.6	0	1	cy-kill: illegal move # cmd: 'play W F9'
28	B+76.5	B+5.5	?	0	-	90	16.5	318.2	16.5	0	0	
29	B+88.5	B+21.5	?	1	9	97	13.1	345	13.1	0	0	
30	B+58.5	W+4.5	?	0	-	96	20.5	342.1	20.4	0	0	
31	B+89.5	B+20.5	?	1	17	81	24.4	300.7	24.3	0	0	
32	B+78.5	B+32.5	?	0	-	100	36.8	356	36.6	0	0	
33	B+88.5	B+21.5	?	1	9	97	13.1	345.7	13.1	0	0	
34	B+79.5	B+14.5	?	0	0	104	23.9	372.9	23.8	0	0	
35	B+104.5	B+3.5	?	1	3	119	27.5	424	27.3	0	0	
36	B+79.5	B+14.5	?	0	0	104	24.1	374.5	23.8	0	0	
37	B+93.5	B+21.5	?	1	-	93	16.8	340.8	16.8	0	0	
38	B+54.5	B+8.5	?	0	18	88	20.5	317.2	20.4	0	0	
39	B+104.5	B+3.5	?	1	3	119	27.4	422.2	27.3	0	0	
40	B+83.5	B+20.5	?	0	-	106	17.2	373.3	17.1	0	0	
41	B+89.5	B+20.5	?	1	17	81	24.3	301.4	24.3	0	0	
42	B+58.5	W+4.5	?	0	30	96	20.5	342.6	20.4	0	0	
43	B+89.5	B+20.5	?	1	17	81	24.4	301.7	24.3	0	0	
44	B+80.5	B+16.5	?	0	10	94	27.9	345.1	27.8	0	0	
45	B+88.5	B+21.5	?	1	9	97	13.1	345.4	13.1	0	0	
