# Black: GNU Go
# BlackCommand: gnugo --mode gtp
# BlackLabel: GNU Go
# BlackVersion: 3.8
# Date: December 5, 2011 11:45:06 PM PST
# Host: dleary-macbook
# Komi: 6.5
# Referee: -
# Size: 9
# White: cy-kill
# WhiteCommand: /Users/dleary/dev/cy-kill/cykill-transcript /Users/dleary/dev/cy-kill/util/cykill-vs-gnugo-100games-9x9-83d9b44a7ef1d7a012349026e981e05343612ad7-engine_param_max_playouts_10000 "engine_param random_seed 42" "engine_param max_playouts 10000"
# WhiteLabel: cy-kill
# WhiteVersion: 0.1
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
0	B+73.5	B+11.5	?	0	-	85	49.4	32.8	48.9	0	0	
1	B+87.5	B+24.5	?	1	-	80	61.3	31	61	0	0	
2	B+50.5	B+11.5	?	0	-	78	23.4	29.6	23	0	0	
3	B+95.5	B+12.5	?	1	-	91	36.1	35.2	35.9	0	0	
4	B+75.5	B+10.5	?	0	-	82	11.7	30.2	11.6	0	0	
5	B+96.5	B+15.5	?	1	-	101	24.9	38.4	24.8	0	0	
6	B+73.5	B+11.5	?	0	0	85	48.8	32.4	48.3	0	0	
7	B+90.5	B+19.5	?	1	-	99	32.2	37.2	32	0	0	
8	B+82.5	W+4.5	?	0	-	96	30.2	37.6	29.6	0	0	
9	B+87.5	B+13.5	?	1	-	92	40.4	35.1	39.9	0	1	cy-kill: illegal move # cmd: 'play W B2'
10	B+50.5	B+11.5	?	0	2	78	23.5	29.7	23	0	0	
11	B+102.5	B+2.5	?	1	-	103	54.4	40.8	53.8	0	0	
12	B+73.5	B+11.5	?	0	0	85	49.1	32.6	48.4	0	0	
13	B+87.5	B+41.5	?	1	-	86	52.3	33.4	51.8	0	0	
14	B+73.5	B+11.5	?	0	0	85	49.1	32.7	48.4	0	0	
15	B+87.5	B+35.5	?	1	-	72	10.3	27.5	10.4	0	1	cy-kill: illegal move # cmd: 'play W F1'
16	B+84.5	W+5.5	?	0	-	98	8.2	36.9	8.1	0	0	
17	B+93.5	B+18.5	?	1	-	93	11	35.9	10.9	0	0	
18	B+81.5	W+6.5	?	0	-	96	38.4	37.2	37.6	0	0	
19	B+87.5	B+46.5	?	1	-	88	56.7	34	56	0	0	
20	B+73.5	B+17.5	?	0	-	85	48.9	31.5	48.7	0	0	
21	B+94.5	B+6.5	?	1	-	97	13.6	35.9	13.4	0	0	
22	B+73.5	B+11.5	?	0	0	85	50.6	33.2	48.8	0	0	
23	B+87.5	B+27.5	?	1	-	80	11.7	32.3	10.9	0	0	
24	B+73.5	B+11.5	?	0	0	85	49.8	33	48.6	0	0	
25	B+87.5	B+26.5	?	1	-	84	47	32.8	46	0	0	
26	B+75.5	B+10.5	?	0	4	82	11.9	30.7	11.6	0	0	
27	B+93.5	B+18.5	?	1	17	93	11.2	37.5	11	0	0	
28	B+75.5	B+10.5	?	0	4	82	12.2	31.6	11.7	0	0	
29	B+102.5	B+2.5	?	1	11	103	55.5	40.1	54.1	0	0	
30	B+73.5	B+11.5	?	0	0	85	49.5	33	48.6	0	0	
31	B+87.5	B+26.5	?	1	25	84	47.3	33.1	46	0	0	
32	B+73.5	B+11.5	?	0	0	85	50.8	34.3	48.7	0	0	
